"isLocalGuide","likesCount","name","originalLanguage","publishedAtDate","responseFromOwnerText","reviewContext/Sebaiknya buat reservasi","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewId","reviewUrl","reviewerNumberOfReviews","stars","text"
"true","0","Didi ZeeAll",,"2025-09-20T09:23:40.489Z",,"Tidak yakin","Maks 10 mnt","Hari biasa","Ci9DQUlRQUNvZENodHljRjlvT2pSSmVHZDVSbU5mVjJoNFpUYzFTVGRWV0dzMlFXYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSSmVHZDVSbU5mVjJoNFpUYzFTVGRWV0dzMlFXYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOjRJeGd5RmNfV2h4ZTc1STdVWGs2QWc%7C%7C?hl=id","39","4",
"true","0","Okky Mahardika","id","2025-09-20T08:58:11.907Z",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xSS1JtdFdSV2N5VjJoV1NFWnVhVEpVZERaeWVsRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSS1JtdFdSV2N5VjJoV1NFWnVhVEpVZERaeWVsRRAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOlRKRmtWRWcyV2hWSEZuaTJUdDZyelE%7C%7C?hl=id","29","3","Mending gembiro luko sih lebih murah+lebih lengkap"
"true","0","Pradeka Perdana",,"2025-09-20T07:06:36.987Z",,"Ya","Maks 10 mnt","Akhir pekan","ChRDSUhNMG9nS0VJQ0FnSUR0MzZ0ORAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChRDSUhNMG9nS0VJQ0FnSUR0MzZ0ORAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CIHM0ogKEICAgIDt36t9%7C%7C?hl=id","72","4",
"false","0","Zakiya Nikmah","ht","2025-09-20T02:07:34.552Z",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2kxYWFqVm9URTk0YXpCWE1UQXpVMmN6YkU5Q01sRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxYWFqVm9URTk0YXpCWE1UQXpVMmN6YkU5Q01sRRAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOi1aajVoTE94azBXMTAzU2czbE9CMlE%7C%7C?hl=id","0","5","wawwww bagttt"
"true","0","Jian zeng呂建增（Eka）",,"2025-09-19T16:29:43.547Z",,"Tidak","Tanpa mengantre","Hari biasa","Ci9DQUlRQUNvZENodHljRjlvT25wWU9GRkRNVlJFYjBwd2MzVlNiMUl6WWpodlNFRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wWU9GRkRNVlJFYjBwd2MzVlNiMUl6WWpodlNFRRAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOnpYOFFDMVREb0pwc3VSb1IzYjhvSEE%7C%7C?hl=id","156","5",
"true","0","Murod Ridwan","id","2025-09-19T02:00:46.938Z",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xCUk1qUXpPWFJHZDJKSFkwOUROWFJvWTFwcVZHYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCUk1qUXpPWFJHZDJKSFkwOUROWFJvWTFwcVZHYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOlBRMjQzOXRGd2JHY09DNXRoY1pqVGc%7C%7C?hl=id","7","3","Mau update ulasan..

Dengan harga tiket 55k untuk reguler tiket di weekday, jelas jauh lebih worth to try daripada dulu. Sudah cukup banyak pembenahan. Btw saya sudah 3 kali ke sini sejak awal soft opening.

Tapi pihak pengelola solo safari musti tahu, mereka punya bonbin Gembiraloka sebagai saingan terdekat. Dengan tiket yg cuma beda 5k, menurut saya pribadi Gembiraloka zoo masih jauh lebih unggul di kebanyakan sektor. Solo safari menurut saya punya kelebihan di penataan lahan dan lingkungan yang lebih bersih, rapi, bersih, dan tertata (mungkin juga karena masih baru).

Beberapa catatan dari saya:

1. Tolong parkir motor dibuat lebih layak dan proper. Yang sekarang menurut saya kurang layak.

2. Perbanyak dan lengkapi lagi satwanya. Khususnya di kandang-kandang besar. Ini sektor utama yang solo safari kalah sangat jauh dari Gembiraloka. Gembiraloka punya 8 gajah, dan semuanya bisa dilihat. Solo safari cuma punya dian, itupun kadang hanya dikeluarkan di jam show. Belum hewan-hewan yang lainnya.

3. Banyak spot2 dan lahan yang kosong, berantakan dan tidak rapi. Seharusnya titik2 ini bisa lebih dimaksimalkan.

4. Petting zoo tolong dioptimalkan lagi, perbanyak hewan dan juga interaksinya. Solo safari bisa belajar dari mini2 zoo yang ada di sekitar area Surakarta dan Jogja.

5. Area dari makunde resto sampai ke pintu keluar jadi kawasan paling tidak nyaman bagi pengunjung. Selain harus berjalan kaki sejauh 0,5 km. Tidak ada apapun yang disajikan sepanjang jalan. Tidak ada hewan apapun, banyak semak belukar, dan banyak bangunan2 sisa yang terbengkalai serta tidak terawat. Pun pakai buggy car, tidak ada yang bisa dilihat selama perjalanan pulang.

6. Aviarynya salah satu yang terbaik, tapi terlalu sedikit burung yang ada didalam. Tolong dioptimalkan dan diperbanyak koleksi burung yang ada di dalam aviary. Bisa ditambahkan juga kegiatan feeding bird seperti di aviary-aviary yg lain selain aktivitas berfoto bersama burung.

7. Tolong perbanyak stand-stand makanan untuk setidaknya mengisi perut kosong dan beristirahat. Both2 makanan hanya ada sekitar 5 buah. Itupun cuma diujung (dekat mushola) dan ketika saya kesana saat weekday semuanya tidak ada yang buka. Sungguh membuat perut tersiksa.

Sebagai orang solo yang suka jalan2 menikmati wisata binatang, berharap solo safari bisa terus berbenah dan memberikan kualitas terbaik untuk pengunjung. Biar gak usah jauh2 klo mau jalan-jalan liat binatang dengan puas."
"true","0","florentina prisca","id","2025-09-18T17:36:26.201Z",,,,"Akhir pekan","Ci9DQUlRQUNvZENodHljRjlvT25abWMyMUVZMk50WWtKR1RsbElRa3RqTWxsWlRtYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25abWMyMUVZMk50WWtKR1RsbElRa3RqTWxsWlRtYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOnZmc21EY2NtYkJGTllIQktjMllZTmc%7C%7C?hl=id","27","3","Harga sedikit mahal untuk binatang yg sedikit 😕
Tempatnya sih bagus, luas.. tapi ya itu binatangnya masih sedikit.."
"true","0","Adeee","id","2025-09-18T16:39:01.008Z",,"Tidak yakin","Tanpa mengantre","Akhir pekan","Ci9DQUlRQUNvZENodHljRjlvT2tJeE9UaHVSamgyTlZkb1YyTlFiVXhTTmpaQlFYYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tJeE9UaHVSamgyTlZkb1YyTlFiVXhTTmpaQlFYYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOkIxOThuRjh2NVdoV2NQbUxSNjZBQXc%7C%7C?hl=id","15","5","Bagus. Oke banget kalo datang sama keluarga. Bisa explore melihat binatang2. Banyak yg mirip teman saya juga"
"false","0","joko penjahir",,"2025-09-18T08:24:59.120Z",,,,,"Ci9DQUlRQUNvZENodHljRjlvT205cGFXeG9abUZJVG1zM1JuUnZlVWxhTkZWWFNsRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205cGFXeG9abUZJVG1zM1JuUnZlVWxhTkZWWFNsRRAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOm9paWxoZmFITms3RnRveUlaNFVXSlE%7C%7C?hl=id","2","4",
"true","0","Dicky Mbendol","id","2025-09-18T07:32:54.054Z",,"Tidak","Tanpa mengantre","Akhir pekan","Ci9DQUlRQUNvZENodHljRjlvT2xkUWNIZHFVRkJPZG5oRFREWnhkamRZYm10M1FuYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkUWNIZHFVRkJPZG5oRFREWnhkamRZYm10M1FuYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOldQcHdqUFBOdnhDTDZxdjdYbmt3Qnc%7C%7C?hl=id","22","2","Maaf untuk harga tiket diatas 70k dengan hewan yang sedikit ini sangat tidak recomend. Ditambah harga satu botol mineral 10k lebih mahal dari harga di ibukota.
Parkir manual belum otomatis tetapi tarif sistem otomatis dengan hitungan jam jadi bayarnya se mangapnya tukang parkir aja  mau dihitung brp jam 😅
Untuk positifnya semua karyawan disana selalu senyum sapa kepada pengunjung dan tempat nya bersih."
"false","0","Laticiakayla Azzahra",,"2025-09-18T05:09:26.719Z",,"Ya","10-30 mnt","Hari biasa","Ci9DQUlRQUNvZENodHljRjlvT2xVNU5uRmpaVzFWVVhWV2FXMUZUMUpZT0RKVVpIYxAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xVNU5uRmpaVzFWVVhWV2FXMUZUMUpZT0RKVVpIYxAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOlU5NnFjZW1VUXVWaW1FT1JYODJUZHc%7C%7C?hl=id","4","5",
"false","0","Agus Setyono","id","2025-09-17T14:41:48.592Z",,,,,"Ci9DQUlRQUNvZENodHljRjlvT25aTlgzVk1aRVZMWm5weWF6Vm1NRGRmV0doSVEwRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aTlgzVk1aRVZMWm5weWF6Vm1NRGRmV0doSVEwRRAB!2m1!1s0x0:0x7c093b150e757def!3m1!1s2@1:CAIQACodChtycF9oOnZNX3VMZEVLZnpyazVmMDdfWGhIQ0E%7C%7C?hl=id","6","3","Kuliner mahal..."
